PERMNO,date,NAMEENDT,SHRCD,EXCHCD,SICCD,NCUSIP,TICKER,COMNAM,SHRCLS,TSYMBOL,NAICS,PRIMEXCH,TRDSTAT,SECSTAT,PERMCO,ISSUNO,HEXCD,HSICCD,CUSIP,DCLRDT,DLAMT,DLPDT,DLSTCD,NEXTDT,PAYDT,RCRDDT,SHRFLG,HSICMG,HSICIG,DISTCD,DIVAMT,FACPR,FACSHR,ACPERM,ACCOMP,SHRENDDT,NWPERM,DLRETX,DLPRC,DLRET,TRTSCD,NMSIND,MMCNT,NSDINX,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,SHROUT,CFACPR,CFACSHR,ALTPRC,SPREAD,ALTPRCDT,RETX,vwretd,vwretx,ewretd,ewretx,sprtrn
13027,20120831,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20120927,,,,,,,,,29.23000,29.53000,29.45000,59778,-0.001695,29.44000,29.47000,12100,1,1,29.45000,,20120831,-0.001695,0.026317,0.023718,0.024819,0.022964,0.019763
13027,20120928,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20111224,,,,,20120928,20120926,0,,,1232,0.18577,0.00000,0.00000,,,20120930,,,,,,,,,29.47000,30.05000,29.73000,52139,0.015816,29.71000,29.73000,12300,1,1,29.73000,,20120928,0.009508,0.026513,0.024564,0.034925,0.032690,0.024236
13027,20121031,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20121129,,,,,,,,,29.28000,30.15000,29.40000,73169,-0.011100,29.41000,29.43000,17800,1,1,29.40000,,20121031,-0.011100,-0.014055,-0.015502,-0.013477,-0.014781,-0.019789
13027,20121130,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20121230,,,,,,,,,28.36000,29.65000,29.50000,58781,0.003401,29.45000,29.48000,22300,1,1,29.50000,,20121130,0.003401,0.006217,0.002977,0.002790,0.000142,0.002847
13027,20121231,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20111224,,,,,20121226,20121221,0,,,1232,0.19437,0.00000,0.00000,,,20130130,,,,,,,,,28.66730,29.74000,29.04000,63394,-0.008454,29.03000,29.05000,25900,1,1,29.04000,,20121231,-0.015593,0.012569,0.009019,0.021872,0.016406,0.007068
13027,20121231,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20111224,,,,,20130103,20121231,0,,,1262,0.01623,0.00000,0.00000,,,20130130,,,,,,,,,28.66730,29.74000,29.04000,63394,-0.008454,29.03000,29.05000,25900,1,1,29.04000,,20121231,-0.015593,0.012569,0.009019,0.021872,0.016406,0.007068
13027,20130131,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20130227,,,,,,,,,29.63000,30.64000,30.49000,75893,0.049931,30.49000,30.50000,41000,1,1,30.49000,,20130131,0.049931,0.054142,0.052937,0.063509,0.062680,0.050428
13027,20130228,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20130327,,,,,,,,,30.47000,31.35000,31.33000,106612,0.027550,31.29000,31.33000,54800,1,1,31.33000,,20130228,0.027550,0.008282,0.006079,0.003491,0.002051,0.011061
13027,20130328,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20121214,,,,,20130401,20130327,0,,,1232,0.12213,0.00000,0.00000,,,20130429,,,,,,,,,31.41000,32.76000,32.76000,227675,0.049541,32.77000,32.78000,78900,1,1,32.76000,,20130328,0.045643,0.035295,0.033526,0.031419,0.029529,0.035988
13027,20130430,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20130530,,,,,,,,,32.64000,33.67000,33.67000,343201,0.027778,33.65000,33.66000,109600,1,1,33.67000,,20130430,0.027778,0.014939,0.013764,0.002477,0.001376,0.018086
13027,20130531,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20130627,,,,,,,,,32.88280,34.32000,32.88280,238217,-0.023380,32.86000,32.87000,118200,1,1,32.88280,,20130531,-0.023380,0.019128,0.016568,0.023985,0.022131,0.020763
13027,20130628,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,20121214,,,,,20130703,20130701,0,,,1232,0.17280,0.00000,0.00000,,,20130730,,,,,,,,,32.04000,33.48500,32.57000,242018,-0.004258,32.54000,32.56000,109700,1,1,32.57000,,20130628,-0.009513,-0.015072,-0.017089,-0.013012,-0.015631,-0.014999
13027,20130731,,73,4,6726,46429B69,USMV,ISHARES TRUST,,USMV,525990,R,A,R,37493,0,5,6726,46429B69,,,,,,,,0,,,,,,,,,20130829,,,,,,,,,32.59000,33.93500,33.77000,636914,0.036844,33.76000,33.77000,68900,1,1,33.77000,,20130731,0.036844,0.052658,0.051223,0.054898,0.053720,0.049462
